input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_delay_A_sec,output_delay_N_sec,weight_A,weight_N,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_d_EMV_sec,measured_d_veh_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
Random Search,20260607,22,rs_r22_004_tl21_dt87_ge5_qr36_tau74,21,87,5,0.36,0.74,330.92,103.86,10.00,1.00,10:1,310.28,219.08016,550.0,330.91984,103.861867,183.518164,0,80
Random Search,20260607,22,rs_r22_005_tl113_dt183_ge33_qr35_tau84,113,183,33,0.35,0.84,286.92,89.91,10.00,1.00,10:1,269.01,219.08016,506.0,286.91984,89.912906,157.023866,0,35
Random Search,20260607,22,rs_r22_006_tl88_dt207_ge44_qr12_tau86,88,207,44,0.12,0.86,306.92,86.00,10.00,1.00,10:1,286.84,219.08016,526.0,306.91984,86.002543,152.290909,1,31
Random Search,20260607,23,rs_r23_001_tl32_dt51_ge24_qr59_tau72,32,51,24,0.59,0.72,149.92,79.67,10.00,1.00,10:1,143.53,219.08016,369.0,149.91984,79.668241,134.671687,0,29
Random Search,20260607,23,rs_r23_002_tl118_dt211_ge36_qr67_tau71,118,211,36,0.67,0.71,288.92,84.10,10.00,1.00,10:1,270.30,219.08016,508.0,288.91984,84.097137,154.92093,0,34
Random Search,20260607,23,rs_r23_003_tl57_dt187_ge6_qr11_tau78,57,187,6,0.11,0.78,414.92,96.50,10.00,1.00,10:1,385.97,219.08016,634.0,414.91984,96.502685,186.491682,1,97
Random Search,20260607,23,rs_r23_004_tl94_dt22_ge39_qr75_tau75,94,22,39,0.75,0.75,145.92,75.50,10.00,1.00,10:1,139.52,219.08016,365.0,145.91984,75.504769,138.226006,0,17
Random Search,20260607,23,rs_r23_005_tl74_dt31_ge46_qr67_tau72,74,31,46,0.67,0.72,137.92,85.26,10.00,1.00,10:1,133.13,219.08016,357.0,137.91984,85.256081,144.045845,0,18
Random Search,20260607,23,rs_r23_006_tl110_dt70_ge3_qr3_tau75,110,70,3,0.03,0.75,327.92,83.96,10.00,1.00,10:1,305.74,219.08016,547.0,327.91984,83.963089,167.696774,1,92
Random Search,20260607,24,rs_r24_001_tl69_dt13_ge5_qr61_tau90,69,13,5,0.61,0.9,146.92,80.25,10.00,1.00,10:1,140.86,219.08016,366.0,146.91984,80.249198,134.578275,0,28
Random Search,20260607,24,rs_r24_002_tl15_dt189_ge43_qr12_tau83,15,189,43,0.12,0.83,251.92,79.27,10.00,1.00,10:1,236.22,219.08016,471.0,251.91984,79.267295,156.5,1,30
Random Search,20260607,24,rs_r24_003_tl93_dt79_ge9_qr49_tau77,93,79,9,0.49,0.77,274.92,89.25,10.00,1.00,10:1,258.04,219.08016,494.0,274.91984,89.246801,166.366733,0,66
Random Search,20260607,24,rs_r24_004_tl103_dt122_ge27_qr50_tau88,103,122,27,0.5,0.88,222.92,77.46,10.00,1.00,10:1,209.70,219.08016,442.0,222.91984,77.459426,135.914439,0,38
Random Search,20260607,24,rs_r24_005_tl99_dt76_ge17_qr34_tau72,99,76,17,0.34,0.72,288.92,90.93,10.00,1.00,10:1,270.92,219.08016,508.0,288.91984,90.927224,170.743468,0,55
Random Search,20260607,24,rs_r24_006_tl105_dt77_ge1_qr43_tau90,105,77,1,0.43,0.9,256.92,90.45,10.00,1.00,10:1,241.79,219.08016,476.0,256.91984,90.448965,163.474836,0,90
Random Search,20260607,25,rs_r25_001_tl26_dt0_ge47_qr37_tau73,26,0,47,0.37,0.73,198.92,81.83,10.00,1.00,10:1,188.28,219.08016,418.0,198.91984,81.833106,151.753807,0,26
Random Search,20260607,25,rs_r25_002_tl45_dt51_ge13_qr20_tau78,45,51,13,0.2,0.78,271.92,93.29,10.00,1.00,10:1,255.68,219.08016,491.0,271.91984,93.289901,165.622596,1,54
Random Search,20260607,25,rs_r25_003_tl111_dt15_ge45_qr1_tau77,111,15,45,0.01,0.77,137.92,83.00,10.00,1.00,10:1,132.93,219.08016,357.0,137.91984,82.998989,142.179567,1,18
Random Search,20260607,25,rs_r25_004_tl112_dt47_ge38_qr73_tau78,112,47,38,0.73,0.78,151.92,87.73,10.00,1.00,10:1,146.08,219.08016,371.0,151.91984,87.732232,138.994681,0,24
Random Search,20260607,25,rs_r25_005_tl104_dt99_ge7_qr69_tau87,104,99,7,0.69,0.87,279.92,91.43,10.00,1.00,10:1,262.78,219.08016,499.0,279.91984,91.432514,165.734091,0,72
Random Search,20260607,25,rs_r25_006_tl35_dt181_ge6_qr17_tau85,35,181,6,0.17,0.85,375.92,95.58,10.00,1.00,10:1,350.43,219.08016,595.0,375.91984,95.580008,174.7393,1,90
Random Search,20260607,26,rs_r26_001_tl4_dt114_ge49_qr71_tau86,4,114,49,0.71,0.86,116.92,83.08,10.00,1.00,10:1,113.84,219.08016,336.0,116.91984,83.084262,138.517751,0,20
Random Search,20260607,26,rs_r26_002_tl34_dt160_ge6_qr44_tau85,34,160,6,0.44,0.85,278.92,95.84,10.00,1.00,10:1,262.28,219.08016,498.0,278.91984,95.842102,158.492925,0,78
Random Search,20260607,26,rs_r26_003_tl88_dt217_ge12_qr81_tau86,88,217,12,0.81,0.86,352.92,89.36,10.00,1.00,10:1,328.96,219.08016,572.0,352.91984,89.356282,160.784188,0,68
Random Search,20260607,26,rs_r26_004_tl7_dt10_ge17_qr52_tau77,7,10,17,0.52,0.77,161.92,83.15,10.00,1.00,10:1,154.76,219.08016,381.0,161.91984,83.147963,137.01847,0,19
Random Search,20260607,26,rs_r26_005_tl116_dt243_ge42_qr68_tau76,116,243,42,0.68,0.76,281.92,79.19,10.00,1.00,10:1,263.49,219.08016,501.0,281.91984,79.188815,155.643373,0,31
Random Search,20260607,26,rs_r26_006_tl106_dt198_ge45_qr1_tau84,106,198,45,0.01,0.84,232.92,85.13,10.00,1.00,10:1,219.48,219.08016,452.0,232.91984,85.126496,152.965261,1,29
Random Search,20260607,27,rs_r27_001_tl86_dt11_ge47_qr62_tau84,86,11,47,0.62,0.84,161.92,86.17,10.00,1.00,10:1,155.03,219.08016,381.0,161.91984,86.170474,142.315789,0,17
Random Search,20260607,27,rs_r27_002_tl35_dt127_ge29_qr77_tau72,35,127,29,0.77,0.72,257.92,77.48,10.00,1.00,10:1,241.52,219.08016,477.0,257.91984,77.475936,140.228792,0,39
Random Search,20260607,27,rs_r27_003_tl104_dt39_ge49_qr16_tau70,104,39,49,0.16,0.7,114.92,97.33,10.00,1.00,10:1,113.32,219.08016,334.0,114.91984,97.33114,140.585799,1,18
Random Search,20260607,27,rs_r27_004_tl86_dt178_ge21_qr95_tau75,86,178,21,0.95,0.75,373.92,85.87,10.00,1.00,10:1,347.73,219.08016,593.0,373.91984,85.865699,168.151515,0,57
Random Search,20260607,27,rs_r27_005_tl104_dt40_ge9_qr57_tau81,104,40,9,0.57,0.81,233.92,76.38,10.00,1.00,10:1,219.60,219.08016,453.0,233.91984,76.384457,145.044974,0,53
Random Search,20260607,27,rs_r27_006_tl93_dt47_ge41_qr15_tau81,93,47,41,0.15,0.81,159.92,89.59,10.00,1.00,10:1,153.53,219.08016,379.0,159.91984,89.594919,137.756677,1,24
Random Search,20260607,28,rs_r28_001_tl83_dt106_ge34_qr55_tau70,83,106,34,0.55,0.7,264.92,93.66,10.00,1.00,10:1,249.35,219.08016,484.0,264.91984,93.664557,153.264339,0,34
Random Search,20260607,28,rs_r28_002_tl7_dt238_ge32_qr2_tau85,7,238,32,0.02,0.85,269.92,95.68,10.00,1.00,10:1,254.08,219.08016,489.0,269.91984,95.678601,146.601432,1,38
Random Search,20260607,28,rs_r28_003_tl4_dt236_ge18_qr31_tau70,4,236,18,0.31,0.7,286.92,82.77,10.00,1.00,10:1,268.36,219.08016,506.0,286.91984,82.769861,161.461187,0,52
Random Search,20260607,28,rs_r28_004_tl83_dt35_ge4_qr82_tau86,83,35,4,0.82,0.86,137.92,75.84,10.00,1.00,10:1,132.28,219.08016,357.0,137.91984,75.836717,134.556634,0,47
Random Search,20260607,28,rs_r28_005_tl35_dt25_ge35_qr41_tau81,35,25,35,0.41,0.81,138.92,77.81,10.00,1.00,10:1,133.36,219.08016,358.0,138.91984,77.80767,136.824281,0,19
Random Search,20260607,28,rs_r28_006_tl63_dt195_ge14_qr81_tau88,63,195,14,0.81,0.88,334.92,84.64,10.00,1.00,10:1,312.17,219.08016,554.0,334.91984,84.636297,164.051653,0,62
Random Search,20260607,29,rs_r29_001_tl95_dt34_ge3_qr39_tau85,95,34,3,0.39,0.85,153.92,75.34,10.00,1.00,10:1,146.78,219.08016,373.0,153.91984,75.338059,139.451515,0,48
Random Search,20260607,29,rs_r29_002_tl87_dt43_ge37_qr35_tau80,87,43,37,0.35,0.8,208.92,81.53,10.00,1.00,10:1,197.34,219.08016,428.0,208.91984,81.532389,141.347222,0,32
Random Search,20260607,29,rs_r29_003_tl93_dt151_ge48_qr19_tau73,93,151,48,0.19,0.73,274.92,82.51,10.00,1.00,10:1,257.43,219.08016,494.0,274.91984,82.507389,158.009569,1,30
Random Search,20260607,29,rs_r29_004_tl61_dt125_ge40_qr50_tau85,61,125,40,0.5,0.85,282.92,88.83,10.00,1.00,10:1,265.28,219.08016,502.0,282.91984,88.828306,165.269874,0,33
Random Search,20260607,29,rs_r29_005_tl33_dt201_ge46_qr85_tau84,33,201,46,0.85,0.84,214.92,81.40,10.00,1.00,10:1,202.78,219.08016,434.0,214.91984,81.39793,141.632877,0,28
Random Search,20260607,29,rs_r29_006_tl67_dt198_ge39_qr4_tau90,67,198,39,0.04,0.9,319.92,93.22,10.00,1.00,10:1,299.31,219.08016,539.0,319.91984,93.219727,155.108647,1,38
Random Search,20260607,30,rs_r30_001_tl70_dt241_ge27_qr55_tau76,70,241,27,0.55,0.76,226.92,75.03,10.00,1.00,10:1,213.11,219.08016,446.0,226.91984,75.027426,133.869919,0,39
Random Search,20260607,30,rs_r30_002_tl95_dt192_ge48_qr10_tau76,95,192,48,0.1,0.76,274.92,82.51,10.00,1.00,10:1,257.43,219.08016,494.0,274.91984,82.507389,158.009569,1,30
Random Search,20260607,30,rs_r30_003_tl91_dt95_ge7_qr23_tau82,91,95,7,0.23,0.82,348.92,101.84,10.00,1.00,10:1,326.46,219.08016,568.0,348.91984,101.836826,173.289641,1,84
Random Search,20260607,30,rs_r30_004_tl14_dt19_ge28_qr46_tau83,14,19,28,0.46,0.83,144.92,77.87,10.00,1.00,10:1,138.82,219.08016,364.0,144.91984,77.867261,135.20743,0,20
Random Search,20260607,30,rs_r30_005_tl59_dt106_ge44_qr67_tau74,59,106,44,0.67,0.74,248.92,75.42,10.00,1.00,10:1,233.15,219.08016,468.0,248.91984,75.416414,139.683938,0,32
Random Search,20260607,30,rs_r30_006_tl62_dt19_ge10_qr63_tau73,62,19,10,0.63,0.73,145.92,78.41,10.00,1.00,10:1,139.78,219.08016,365.0,145.91984,78.409125,145.330435,0,29
Random Search,20260607,31,rs_r31_001_tl98_dt60_ge35_qr76_tau73,98,60,35,0.76,0.73,221.92,88.05,10.00,1.00,10:1,209.75,219.08016,441.0,221.91984,88.046821,144.935829,0,33
Random Search,20260607,31,rs_r31_002_tl3_dt209_ge37_qr47_tau83,3,209,37,0.47,0.83,257.92,87.92,10.00,1.00,10:1,242.47,219.08016,477.0,257.91984,87.920743,155.558603,0,32
Random Search,20260607,31,rs_r31_003_tl46_dt40_ge15_qr62_tau85,46,40,15,0.62,0.85,213.92,77.10,10.00,1.00,10:1,201.48,219.08016,433.0,213.91984,77.103991,146.087071,0,42
Random Search,20260607,31,rs_r31_004_tl8_dt87_ge8_qr48_tau75,8,87,8,0.48,0.75,270.92,81.69,10.00,1.00,10:1,253.72,219.08016,490.0,270.91984,81.686381,166.656613,0,67
Random Search,20260607,31,rs_r31_005_tl29_dt171_ge34_qr89_tau83,29,171,34,0.89,0.83,195.92,78.72,10.00,1.00,10:1,185.26,219.08016,415.0,195.91984,78.715838,139.021918,0,31
Random Search,20260607,31,rs_r31_006_tl105_dt156_ge25_qr71_tau72,105,156,25,0.71,0.72,356.92,80.96,10.00,1.00,10:1,331.83,219.08016,576.0,356.91984,80.959371,158.950311,0,48
Random Search,20260607,32,rs_r32_001_tl13_dt73_ge39_qr64_tau76,13,73,39,0.64,0.76,108.92,87.68,10.00,1.00,10:1,106.99,219.08016,328.0,108.91984,87.681595,174.748549,0,22
Random Search,20260607,32,rs_r32_002_tl66_dt166_ge28_qr94_tau71,66,166,28,0.94,0.71,290.92,74.86,10.00,1.00,10:1,271.28,219.08016,510.0,290.91984,74.86131,157.393103,0,40
Random Search,20260607,32,rs_r32_003_tl46_dt87_ge37_qr74_tau72,46,87,37,0.74,0.72,271.92,86.38,10.00,1.00,10:1,255.05,219.08016,491.0,271.91984,86.384788,156.609302,0,33
Random Search,20260607,32,rs_r32_004_tl106_dt236_ge28_qr13_tau77,106,236,28,0.13,0.77,145.92,86.88,10.00,1.00,10:1,140.55,219.08016,365.0,145.91984,86.879917,135.806349,1,30
Random Search,20260607,32,rs_r32_005_tl34_dt241_ge12_qr65_tau89,34,241,12,0.65,0.89,302.92,87.70,10.00,1.00,10:1,283.35,219.08016,522.0,302.91984,87.697729,168.700665,0,62
Random Search,20260607,32,rs_r32_006_tl68_dt107_ge43_qr29_tau80,68,107,43,0.29,0.8,287.92,85.90,10.00,1.00,10:1,269.55,219.08016,507.0,287.91984,85.89941,156.061611,1,32
Random Search,20260607,33,rs_r33_001_tl116_dt41_ge42_qr80_tau72,116,41,42,0.8,0.72,110.92,82.66,10.00,1.00,10:1,108.35,219.08016,330.0,110.91984,82.658573,144.24269,0,20
Random Search,20260607,33,rs_r33_002_tl15_dt179_ge34_qr56_tau71,15,179,34,0.56,0.71,177.92,79.26,10.00,1.00,10:1,168.95,219.08016,397.0,177.91984,79.255213,147.928389,0,29
Random Search,20260607,33,rs_r33_003_tl80_dt121_ge34_qr28_tau86,80,121,34,0.28,0.86,319.92,88.95,10.00,1.00,10:1,298.92,219.08016,539.0,319.91984,88.946059,178.930894,1,39
Random Search,20260607,33,rs_r33_004_tl68_dt50_ge26_qr96_tau73,68,50,26,0.96,0.73,193.92,78.75,10.00,1.00,10:1,183.45,219.08016,413.0,193.91984,78.753149,152.273399,0,32
Random Search,20260607,33,rs_r33_005_tl35_dt20_ge48_qr87_tau85,35,20,48,0.87,0.85,145.92,77.22,10.00,1.00,10:1,139.67,219.08016,365.0,145.91984,77.224395,138.743034,0,17
Random Search,20260607,33,rs_r33_006_tl91_dt45_ge20_qr71_tau72,91,45,20,0.71,0.72,297.92,92.38,10.00,1.00,10:1,279.23,219.08016,517.0,297.91984,92.382398,165.100457,0,45
Random Search,20260607,34,rs_r34_001_tl35_dt154_ge29_qr32_tau90,35,154,29,0.32,0.9,257.92,77.48,10.00,1.00,10:1,241.52,219.08016,477.0,257.91984,77.475936,140.228792,0,39
Random Search,20260607,34,rs_r34_002_tl43_dt61_ge36_qr47_tau87,43,61,36,0.47,0.87,300.92,95.89,10.00,1.00,10:1,282.28,219.08016,520.0,300.91984,95.89237,176.164927,0,37
Random Search,20260607,34,rs_r34_003_tl36_dt62_ge8_qr41_tau81,36,62,8,0.41,0.81,291.92,95.62,10.00,1.00,10:1,274.07,219.08016,511.0,291.91984,95.619057,170.317181,0,70
Random Search,20260607,34,rs_r34_004_tl45_dt196_ge14_qr27_tau78,45,196,14,0.27,0.78,377.92,92.57,10.00,1.00,10:1,351.98,219.08016,597.0,377.91984,92.570209,179.362069,1,68
Random Search,20260607,34,rs_r34_005_tl97_dt238_ge13_qr30_tau77,97,238,13,0.3,0.77,247.92,91.44,10.00,1.00,10:1,233.69,219.08016,467.0,247.91984,91.436275,162.901124,1,53
Random Search,20260607,34,rs_r34_006_tl89_dt111_ge36_qr5_tau74,89,111,36,0.05,0.74,256.92,100.64,10.00,1.00,10:1,242.71,219.08016,476.0,256.91984,100.643186,175.176353,1,34
Random Search,20260607,35,rs_r35_001_tl56_dt232_ge10_qr91_tau90,56,232,10,0.91,0.9,368.92,84.26,10.00,1.00,10:1,343.04,219.08016,588.0,368.91984,84.258177,156.651163,0,75
Random Search,20260607,35,rs_r35_002_tl111_dt52_ge38_qr69_tau76,111,52,38,0.69,0.76,165.92,83.12,10.00,1.00,10:1,158.39,219.08016,385.0,165.91984,83.115036,136.901786,0,27
Random Search,20260607,35,rs_r35_003_tl48_dt75_ge49_qr1_tau90,48,75,49,0.01,0.9,195.92,81.37,10.00,1.00,10:1,185.51,219.08016,415.0,195.91984,81.368467,136.243767,1,27
Random Search,20260607,35,rs_r35_004_tl105_dt150_ge21_qr58_tau70,105,150,21,0.58,0.7,373.92,85.87,10.00,1.00,10:1,347.73,219.08016,593.0,373.91984,85.865699,168.151515,0,57
Random Search,20260607,35,rs_r35_005_tl86_dt86_ge28_qr48_tau86,86,86,28,0.48,0.86,315.92,80.77,10.00,1.00,10:1,294.54,219.08016,535.0,315.91984,80.770343,155.541304,0,41
Random Search,20260607,35,rs_r35_006_tl58_dt235_ge5_qr28_tau86,58,235,5,0.28,0.86,306.92,106.99,10.00,1.00,10:1,288.74,219.08016,526.0,306.91984,106.993655,168.135747,1,83
Random Search,20260607,36,rs_r36_001_tl50_dt47_ge26_qr73_tau72,50,47,26,0.73,0.72,187.92,81.79,10.00,1.00,10:1,178.27,219.08016,407.0,187.91984,81.794034,167.334702,0,33
Random Search,20260607,36,rs_r36_002_tl78_dt125_ge44_qr68_tau81,78,125,44,0.68,0.81,369.92,82.38,10.00,1.00,10:1,343.78,219.08016,589.0,369.91984,82.378552,171.098592,0,37
Random Search,20260607,36,rs_r36_003_tl17_dt111_ge15_qr35_tau77,17,111,15,0.35,0.77,283.92,78.50,10.00,1.00,10:1,265.25,219.08016,503.0,283.91984,78.500722,151.425676,0,55
Random Search,20260607,36,rs_r36_004_tl90_dt225_ge11_qr33_tau89,90,225,11,0.33,0.89,320.92,82.28,10.00,1.00,10:1,299.23,219.08016,540.0,320.91984,82.283101,158.716102,0,67
Random Search,20260607,36,rs_r36_005_tl79_dt192_ge20_qr47_tau80,79,192,20,0.47,0.8,342.92,89.40,10.00,1.00,10:1,319.87,219.08016,562.0,342.91984,89.395837,179.467803,0,56
Random Search,20260607,36,rs_r36_006_tl5_dt21_ge47_qr98_tau79,5,21,47,0.98,0.79,158.92,75.64,10.00,1.00,10:1,151.35,219.08016,378.0,158.91984,75.637886,143.900875,0,17
Random Search,20260607,37,rs_r37_001_tl85_dt202_ge40_qr82_tau84,85,202,40,0.82,0.84,311.92,84.76,10.00,1.00,10:1,291.27,219.08016,531.0,311.91984,84.755651,142.562358,0,35
Random Search,20260607,37,rs_r37_002_tl23_dt43_ge27_qr100_tau88,23,43,27,1.0,0.88,171.92,82.34,10.00,1.00,10:1,163.78,219.08016,391.0,171.91984,82.343342,143.502941,0,32
Random Search,20260607,37,rs_r37_003_tl30_dt16_ge0_qr94_tau70,30,16,0,0.94,0.7,157.92,86.72,10.00,1.00,10:1,151.45,219.08016,377.0,157.91984,86.722186,155.484694,0,40
Random Search,20260607,37,rs_r37_004_tl46_dt133_ge42_qr61_tau70,46,133,42,0.61,0.7,281.92,79.19,10.00,1.00,10:1,263.49,219.08016,501.0,281.91984,79.188815,155.643373,0,31
Random Search,20260607,37,rs_r37_005_tl67_dt55_ge41_qr9_tau84,67,55,41,0.09,0.84,147.92,91.26,10.00,1.00,10:1,142.77,219.08016,367.0,147.91984,91.258268,137.876161,1,25
Random Search,20260607,37,rs_r37_006_tl113_dt41_ge44_qr35_tau73,113,41,44,0.35,0.73,239.92,82.06,10.00,1.00,10:1,225.57,219.08016,459.0,239.91984,82.058763,142.365979,0,29
Random Search,20260607,38,rs_r38_001_tl113_dt142_ge44_qr37_tau89,113,142,44,0.37,0.89,248.92,80.57,10.00,1.00,10:1,233.62,219.08016,468.0,248.91984,80.572424,140.334225,0,29
Random Search,20260607,38,rs_r38_002_tl100_dt217_ge2_qr0_tau78,100,217,2,0.0,0.78,330.92,101.97,10.00,1.00,10:1,310.11,219.08016,550.0,330.91984,101.973165,175.412281,1,100
Random Search,20260607,38,rs_r38_003_tl86_dt104_ge7_qr52_tau85,86,104,7,0.52,0.85,325.92,91.35,10.00,1.00,10:1,304.60,219.08016,545.0,325.91984,91.347967,156.789357,0,79
Random Search,20260607,38,rs_r38_004_tl115_dt45_ge48_qr71_tau84,115,45,48,0.71,0.84,127.92,90.57,10.00,1.00,10:1,124.52,219.08016,347.0,127.91984,90.569633,149.629534,0,19
Random Search,20260607,38,rs_r38_005_tl62_dt224_ge47_qr45_tau72,62,224,47,0.45,0.72,258.92,82.01,10.00,1.00,10:1,242.84,219.08016,478.0,258.91984,82.006466,161.927313,0,29
Random Search,20260607,38,rs_r38_006_tl24_dt48_ge10_qr95_tau70,24,48,10,0.95,0.7,187.92,84.29,10.00,1.00,10:1,178.50,219.08016,407.0,187.91984,84.290638,145.414286,0,49
Random Search,20260607,39,rs_r39_001_tl117_dt41_ge33_qr93_tau89,117,41,33,0.93,0.89,110.92,81.92,10.00,1.00,10:1,108.28,219.08016,330.0,110.91984,81.923941,143.459215,0,25
Random Search,20260607,39,rs_r39_002_tl93_dt83_ge11_qr52_tau74,93,83,11,0.52,0.74,382.92,98.80,10.00,1.00,10:1,357.09,219.08016,602.0,382.91984,98.799368,160.689162,0,73
Random Search,20260607,39,rs_r39_003_tl107_dt11_ge1_qr99_tau85,107,11,1,0.99,0.85,160.92,85.95,10.00,1.00,10:1,154.10,219.08016,380.0,160.91984,85.94808,146.971649,0,30
Random Search,20260607,39,rs_r39_004_tl121_dt94_ge41_qr78_tau86,121,94,41,0.78,0.86,137.92,77.60,10.00,1.00,10:1,132.44,219.08016,357.0,137.91984,77.599735,135.157556,0,26
Random Search,20260607,39,rs_r39_005_tl98_dt24_ge26_qr41_tau87,98,24,26,0.41,0.87,167.92,75.98,10.00,1.00,10:1,159.56,219.08016,387.0,167.91984,75.98277,143.368116,0,27
Random Search,20260607,39,rs_r39_006_tl62_dt186_ge30_qr74_tau84,62,186,30,0.74,0.84,286.92,75.40,10.00,1.00,10:1,267.69,219.08016,506.0,286.91984,75.397098,148.310263,0,40
Random Search,20260607,40,rs_r40_001_tl53_dt89_ge20_qr64_tau77,53,89,20,0.64,0.77,350.92,93.20,10.00,1.00,10:1,327.49,219.08016,570.0,350.91984,93.19553,161.029536,0,54
Random Search,20260607,40,rs_r40_002_tl82_dt45_ge48_qr27_tau87,82,45,48,0.27,0.87,95.92,90.97,10.00,1.00,10:1,95.47,219.08016,315.0,95.91984,90.967375,139.292683,1,20
Random Search,20260607,40,rs_r40_003_tl38_dt142_ge34_qr29_tau76,38,142,34,0.29,0.76,302.92,84.76,10.00,1.00,10:1,283.09,219.08016,522.0,302.91984,84.762796,156.351852,1,38
Random Search,20260607,40,rs_r40_004_tl72_dt111_ge1_qr98_tau80,72,111,1,0.98,0.8,371.92,98.85,10.00,1.00,10:1,347.10,219.08016,591.0,371.91984,98.847085,175.743952,0,119
Random Search,20260607,40,rs_r40_005_tl63_dt97_ge24_qr31_tau74,63,97,24,0.31,0.74,314.92,79.04,10.00,1.00,10:1,293.48,219.08016,534.0,314.91984,79.03704,163.802661,0,46
Random Search,20260607,40,rs_r40_006_tl15_dt182_ge39_qr10_tau76,15,182,39,0.1,0.76,177.92,80.36,10.00,1.00,10:1,169.05,219.08016,397.0,177.91984,80.357059,153.074176,1,30
Random Search,20260607,41,rs_r41_001_tl24_dt43_ge32_qr48_tau90,24,43,32,0.48,0.9,109.92,82.94,10.00,1.00,10:1,107.47,219.08016,329.0,109.91984,82.941725,142.98503,0,26
Random Search,20260607,41,rs_r41_002_tl35_dt37_ge1_qr52_tau74,35,37,1,0.52,0.74,168.92,76.38,10.00,1.00,10:1,160.51,219.08016,388.0,168.91984,76.380262,142.68314,0,61
Random Search,20260607,41,rs_r41_003_tl104_dt45_ge13_qr60_tau70,104,45,13,0.6,0.7,237.92,97.12,10.00,1.00,10:1,225.12,219.08016,457.0,237.91984,97.123917,167.022556,0,47
Random Search,20260607,41,rs_r41_004_tl47_dt70_ge34_qr94_tau87,47,70,34,0.94,0.87,204.92,74.47,10.00,1.00,10:1,193.06,219.08016,424.0,204.91984,74.465459,135.45082,0,29
Random Search,20260607,41,rs_r41_005_tl28_dt196_ge30_qr20_tau72,28,196,30,0.2,0.72,319.92,84.81,10.00,1.00,10:1,298.55,219.08016,539.0,319.91984,84.813703,164.458065,1,41
Random Search,20260607,41,rs_r41_006_tl71_dt196_ge40_qr46_tau76,71,196,40,0.46,0.76,311.92,84.76,10.00,1.00,10:1,291.27,219.08016,531.0,311.91984,84.755651,142.562358,0,35
Random Search,20260607,42,rs_r42_001_tl31_dt54_ge10_qr46_tau77,31,54,10,0.46,0.77,177.92,87.52,10.00,1.00,10:1,169.70,219.08016,397.0,177.91984,87.518002,147.387755,0,50
Random Search,20260607,42,rs_r42_002_tl109_dt206_ge0_qr99_tau70,109,206,0,0.99,0.7,286.92,94.08,10.00,1.00,10:1,269.39,219.08016,506.0,286.91984,94.08445,162.723404,0,107
Random Search,20260607,42,rs_r42_003_tl5_dt118_ge48_qr45_tau86,5,118,48,0.45,0.86,146.92,90.84,10.00,1.00,10:1,141.82,219.08016,366.0,146.91984,90.839555,154.326633,0,25
Random Search,20260607,42,rs_r42_004_tl97_dt43_ge18_qr5_tau72,97,43,18,0.05,0.72,274.92,102.06,10.00,1.00,10:1,259.21,219.08016,494.0,274.91984,102.060135,157.970732,1,47
Random Search,20260607,42,rs_r42_005_tl74_dt141_ge7_qr58_tau83,74,141,7,0.58,0.83,352.92,92.03,10.00,1.00,10:1,329.20,219.08016,572.0,352.91984,92.027196,179.112871,0,81
Random Search,20260607,42,rs_r42_006_tl28_dt49_ge38_qr44_tau72,28,49,38,0.44,0.72,151.92,87.73,10.00,1.00,10:1,146.08,219.08016,371.0,151.91984,87.732232,138.994681,0,24
Random Search,20260607,43,rs_r43_001_tl65_dt6_ge15_qr97_tau81,65,6,15,0.97,0.81,181.92,95.17,10.00,1.00,10:1,174.03,219.08016,401.0,181.91984,95.173908,162.60804,0,20
Random Search,20260607,43,rs_r43_002_tl60_dt16_ge50_qr65_tau80,60,16,50,0.65,0.8,144.92,79.76,10.00,1.00,10:1,139.00,219.08016,364.0,144.91984,79.758103,138.722397,0,17
Random Search,20260607,43,rs_r43_003_tl17_dt48_ge39_qr33_tau83,17,48,39,0.33,0.83,225.92,86.48,10.00,1.00,10:1,213.24,219.08016,445.0,225.91984,86.478033,140.60733,0,30
Random Search,20260607,43,rs_r43_004_tl47_dt230_ge25_qr95_tau83,47,230,25,0.95,0.83,332.92,80.37,10.00,1.00,10:1,309.96,219.08016,552.0,332.91984,80.370846,155.283871,0,46
Random Search,20260607,43,rs_r43_005_tl121_dt158_ge28_qr79_tau70,121,158,28,0.79,0.7,298.92,78.16,10.00,1.00,10:1,278.85,219.08016,518.0,298.91984,78.162652,159.485261,0,42
Random Search,20260607,43,rs_r43_006_tl82_dt241_ge35_qr17_tau85,82,241,35,0.17,0.85,287.92,90.46,10.00,1.00,10:1,269.97,219.08016,507.0,287.91984,90.456593,162.642202,1,38
Random Search,20260607,44,rs_r44_001_tl83_dt98_ge2_qr16_tau79,83,98,2,0.16,0.79,403.92,90.38,10.00,1.00,10:1,375.42,219.08016,623.0,403.91984,90.382408,164.718367,1,114
Random Search,20260607,44,rs_r44_002_tl70_dt167_ge26_qr39_tau88,70,167,26,0.39,0.88,202.92,77.82,10.00,1.00,10:1,191.55,219.08016,422.0,202.91984,77.822396,135.544199,0,36
