mapwide_id,source_edge,sink_edge,route_edges,route_edge_count,depart,reason
expanded_v7_mapwide_00163,782892488#2,416172064,782892488#2 1205679418#14 329995230#0 329995230#1 228795484#0 228795484#1 228795468#3 908646367#11 218924602#0 218924602#1 218924602#2 218924602#3 656122993 156922850#1 -170403810#3 -170403810#2 -170403810#1 -170403810#0 1207199730#0 1207199730#1 1207199730#2 1207199730#3 1207199731#2 1458158605 218835937 1458158600 1458158598 -1458158597 -517641007 -1458158607 -1458158608 -1458158609 -517583989 -1458158610 -1458158611 -1458158612 -223435053 381218091#0 381218091#1 416172064,40,904.34,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00164,516169308#7,377373566#0,516169308#7 516169308#8 -368834998#9 -368834998#8 -368834998#7 -368834998#6 -368834998#5 -368834998#4 289489780#0 289489780#1 289489780#3 289489780#4 289489780#5 377373668#1 -464412130#2 -464412130#1 -464412130#0 -377373704 -377373601#6 377373725#0 377373725#1 237264677#8 377373566#0,23,910.69,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00165,-221431173#0,-221977892#3,-221431173#0 -221431169#0 37399752#2 37399752#3 37399752#4 37399752#5 37399752#6 37399752#7 37399752#8 37399752#9 141957153 142077711#1 236945321#1 236945321#2 236945321#3 236945321#4 196079107#0 196079107#1 446743583#0 446743583#1 1506928764#0 1506928764#1 1506928764#2 196079104#0 196079104#2 196079104#3 196079104#4 196079104#5 1153283294#0 1153283294#1 619392625 773060739#0 773060739#1 1208411212#0 1208411212#1 37402325#0 37402325#1 913546029 180368916#1 180368916#4 -221977892#3,41,917.04,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00166,-1004836024,-243542155#0,-1004836024 233651280#1 218974504#3 218974504#4 218974504#5 219096265 708672701#0 708672701#1 708672701#2 708672701#3 708672701#4 708672701#5 708672701#6 708672701#7 708672701#8 708858347 -1499619438#0 -383097714 383097722#0 781985788#0 1465558146#0 1465558146#1 383097723 379943276 -243542155#1 -243542155#0,26,923.40,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00167,-233526454#0,229026917#1,-233526454#0 -73550861#4 419752064#0 788674833 -419752060 -419752058#0 180190213#9 180190213#11 220027347#7 220027347#8 220027347#9 220027347#10 1207199730#0 1207199730#1 1207199730#2 1207199730#3 1207199731#2 1458158605 218835937 1458158600 1458158598 -1458158597 -517641007 -1458158607 -1458158608 -1458158609 -517583989 -1458158610 -1458158611 -1458158612 1458158615#0 1458158613#1 1458158613#3 1458158613#4 1458158613#5 1455528504#0 1455528504#1 1455528504#2 381218125#0 381218125#1 -381218124#3 -381218124#2 -381218124#0 381218115#1 381218115#2 381218115#3 -229026916#8 -229026916#5 -229026916#4 -229026916#3 -229026916#2 229026917#1,52,929.75,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00168,-1176532865#1,415967618#6,-1176532865#1 -1176532865#0 -1176532864#0 229026906#1 416204675#0 416204675#1 416204675#2 -379730390#2 -379730390#1 -379730349 416204675#5 416204675#6 416204675#7 416204675#8 416204675#9 416204675#11 -229027410#4 -229027410#3 -229027410#2 -229027410#1 183521178#8 183521178#9 183521195#0 183521195#1 183521195#2 183521195#3 1455546617#0 1455546617#1 381218097 229026919 415967618#6,31,936.10,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00169,420187963#0,238535896#1,420187963#0 381458594#1 381458594#2 381458594#3 381458594#4 -381458597 -381458581#3 -381458581#2 -381458581#1 239357573#19 239357573#20 239357573#21 -520307305#2 -520307305#1 -520307305#0 -37928420#2 -37928420#1 -37928420#0 218662402#0 218662402#1 520307306 913009311 1126339777#0 1126339777#1 -420331831 117914348#0 117914348#1 117914351#0 117914351#2 -420331825#0 913006754#9 1455512067 1455512071 428260116#1 1455518728 1455518727#0 1455518727#1 1455518727#2 1455524944 1455524946 1455524945 218923182 268783056#1 1455524950#0 1455524950#1 1455524952#0 1455524952#1 1455526423 1455526421 1455526422 1455526425#0 1455526425#1 482167259 482167260 1455527229 1455527230 1207481548 1455546620 1207481549#0 1207481549#1 1455546621 238535896#1,62,941.03,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00170,381447829#0,420331831,381447829#0 420331831,2,947.38,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00171,-381743714#2,420086344#0,-381743714#2 -381743714#1 -381743714#0 521770125#2 521770125#3 218910312#0 218910312#2 218910312#3 -1392679400 -218910324#11 -218910324#10 -218910324#9 -218910324#7 -218910324#6 -218910324#5 -420187960#3 239357580#0 -381570321#0 -420187960#1 -420187960#0 -381458583#6 -381458583#5 -381458583#2 -381458583#1 420187962#3 -218910324#0 -218960891#14 -218960891#13 -218960891#12 -218960891#11 -218960891#10 -218960891#9 -218960891#8 -218960891#6 -218960891#5 -218960891#4 -218960891#3 -218960891#2 -218960891#1 -218960891#0 -37399924#11 -37399924#10 -37399924#9 -37399924#8 -37399924#7 -37399924#6 -37399924#5 -37399924#4 -37399924#3 -37399924#2 -37399924#1 -37399924#0 218684411#0 218684411#1 218684411#2 218684411#3 218684411#4 218684411#5 218684411#6 218684411#7 -381807695#0 420080607#1 229028006#2 229028006#4 229028006#5 229028006#6 229028006#8 229028006#9 420086344#0,69,953.73,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00172,-381453329,223418965#9,-381453329 420348556#2 381453320#2 381453320#3 1501824264 -1455497346 -503530174#1 -503530174#0 237470575#0 237470575#1 237470575#2 237470575#3 237470575#4 237470575#5 237470575#6 223418965#6 223418965#7 223418965#8 223418965#9,19,960.09,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00173,-420187960#0,381570309#3,-420187960#0 -420309398#1 -420309398#0 -381570303#4 -381570303#3 -420310508#4 -420310508#3 -420310508#2 381570323 381570309#3,10,966.44,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00174,-381746452#0,-37400066#0,-381746452#0 218960891#4 -381746450#3 -381746450#2 -340373565#6 381746452#2 381746452#3 -420097198#1 -420097207 -381746718 381737978#2 83339285#0 83339285#1 83339285#2 83339285#3 83339285#4 83339285#5 37400066#0 37400066#1 37400066#2 -381793820#3 779239883 779239884 381793815 -779239885 381793828#2 -779239884 -779239883 381793820#3 -37400066#2 -37400066#1 -37400066#0,32,972.79,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00175,377333844,381807723#0,377333844 377333893#1 1442270413#0 1442270413#1 1442270413#2 519071250 413106892 519097168#0 519097168#1 519097168#2 519097168#4 -218960891#14 -218960891#13 -218960891#12 -218960891#11 -218960891#10 -218960891#9 -218960891#8 -218960891#6 -218960891#5 -218960891#4 -218960891#3 -218960891#2 -218960891#1 -218960891#0 -37399924#11 -37399924#10 -37399924#9 -37399924#8 -37399924#7 -37399924#6 -37399924#5 -37399924#4 -37399924#3 -37399924#2 -37399924#1 -37399924#0 218684411#0 218684411#1 218684411#2 218684411#3 218684411#4 218684411#5 -229028337#8 -229028337#7 229028340#9 229028345#10 381807723#0,48,979.14,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00176,464458362#4,651817398#4,464458362#4 580350029#3 580350029#5 580350029#6 580350029#7 1339655672#0 1339655672#1 -580350028 1339655669 1339655668 516163750#0 516163750#1 1206220503#0 1206220503#1 333554718 333554719 219696191#0 219696191#1 619147740 619147739#0 651817398#0 651817398#1 651817398#2 651817398#3 651817398#4,25,985.50,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00177,117784411#1,782892489#2,117784411#1 117784421#3 117784419#0 117784419#1 395564622#2 -198564928#25 -198564928#24 -198564928#21 -198564928#20 -198564928#19 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -198564928#11 -198564928#10 -228795463#4 -228795463#3 -228795463#1 -228795463#0 -228795477#3 -228795477#2 -420383143#1 -420383143#0 -1205679418#1 -767644535 -767644534#0 180368915#3 782892489#1 782892489#2,33,991.85,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00178,244477710,-329995227#2,244477710 244477705#8 -344898677#10 -344898677#7 -344898677#5 -344898677#4 -344898677#3 -344898677#1 -344898677#0 464458362#0 464458362#1 464458362#2 -468168887#2 -468168887#1 -468168887#0 -224260187#6 -376666917 -376666933#0 -224260190#5 -224260190#4 -224260190#3 -224260190#2 -224260190#1 -224260190#0 1206220503#0 1206220503#1 333554718 333554719 219696191#0 219696191#1 619147740 619147739#0 619147739#1 619147739#2 619147739#3 619147739#4 619147739#5 619147739#6 781983103#1 781983103#2 921117704#0 921117704#1 1467498054 -781985788#0 -383097722#0 383097714 1499619438#0 1499619445#2 1499619444 1499619443#0 1499619443#1 1499619443#2 1499619443#3 198691077#0 198691077#1 198691077#2 198691077#3 198691077#4 198691077#5 198691077#6 198691077#7 198691077#9 198691077#10 198691077#11 198691077#12 198691077#13 198691077#14 913565824#1 913565824#2 782892488#2 782892488#3 782892488#4 782892488#5 420383141#0 -329995227#2,75,998.20,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00179,198691078#4,419752057#4,198691078#4 198691077#7 198691077#9 198691077#10 198691077#11 198691077#12 198691077#13 198691077#14 913565824#1 913565824#2 913565824#6 913565824#7 913565824#8 913565824#9 913565824#10 913565824#11 919117822#1 919117822#2 919117822#3 919117822#4 1013396414#1 1013396414#2 306384116#0 306384116#1 419812905#0 419812905#1 -1013396417#0 -37403263#7 -37403263#6 -37403263#5 233651310#0 -329261487 -184445043#1 -184445043#0 -419812286#5 -117784412#0 180190213#3 419750459#0 419752057#3 419752057#4,40,1004.56,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00180,-229028339#1,-379584856#1,-229028339#1 -379730398#2 -379730398#1 -379730398#0 -732213457#1 -732213457#0 732213458 229028014#1 238538825#0 238538825#1 238538825#2 238538822#2 -379730387#2 -379730329#4 -379730329#3 -379730329#2 -379730329#1 238538823#4 238538823#5 183521185#13 263590234 1455241699#0 1455241699#1 379584862#1 379584862#2 416206250#0 416206250#1 416206250#2 416206250#3 -379584856#1,30,1010.91,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00181,381746724,420317543#1,381746724 -117770541#1 -381746452#2 340373565#6 381746450#2 381746450#3 -420317541#6 -420317541#5 -420317541#4 -420317541#3 -420317541#2 -420317541#1 -420317541#0 -375125209 117914354 420317540 420317543#0 420317543#1,18,1017.26,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00182,-331953288#2,-376666928#1,-331953288#2 464399096#0 464399096#1 464380980#1 516169312#9 516169312#10 516169312#11 516169312#12 516169312#13 516169312#14 499417661#0 837752063#1 837752063#2 837752066#0 837752066#1 585352850#3 585352851#0 585352851#1 218707545 619137615#0 619137615#1 619137615#3 619137615#4 464447942#0 464447942#1 464447942#2 464447942#3 344898685 384030384 -464458358#0 -464458860#4 -464458860#3 -464458860#1 -464458860#0 -376666928#2 -376666928#1,36,1022.19,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00183,233651332#0,-228795463#0,233651332#0 -788674832 517641017#2 517641017#3 517641017#4 517641017#5 517641017#6 517641017#7 517641017#8 517706841#1 517706841#2 517706841#3 517706841#4 517706841#5 908694579 656122981#0 908646367#5 908646367#6 908646367#7 -329995230#2 -329995230#1 -329995230#0 -1205679418#14 -1205679418#12 -1205679418#11 -1205679418#10 -1205679418#9 -1205679418#8 -1205679418#7 -1205679418#6 228795474#0 228795474#1 228795474#2 -228795463#1 -228795463#0,35,1028.54,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00184,266255488#0,-238536650#1,266255488#0 266255488#1 266255488#2 -420108609#2 -420108609#1 -381730930#3 -381730930#1 -381730930#0 -83339285#5 -83339285#4 -83339285#3 -83339285#2 -83339285#1 -83339285#0 -482188707#1 -340373564#4 -340373564#3 -340373564#2 381802856 381802880#1 -340373566#2 -340373566#1 -340373566#0 -420089386#5 -420089386#4 -420089386#3 -420089386#2 -420089386#1 -420089386#0 -870977308#0 -117770551#4 -117770551#3 -117770551#2 -117770551#0 -183272625#1 -174870621#2 381807720#1 381807720#2 381807720#3 381807720#4 800229257#2 911522748#0 911522748#1 183521074#0 183521074#1 183521074#2 -381809847 -238536650#1,48,1034.89,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00185,-37399924#8,381807706#0,-37399924#8 -37399924#7 -37399924#6 -37399924#5 -37399924#4 -37399924#3 -37399924#2 -37399924#1 -37399924#0 218684411#0 218684411#1 218684411#2 218684411#3 218684411#4 218684411#5 218684411#6 218684411#7 -381807695#0 420080607#1 420080604#0 420080604#1 420080604#2 229028020#4 229028020#5 229028020#6 229028020#7 229028020#8 420080602#0 420080602#1 420080602#2 381807706#0,31,1041.24,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00186,183521195#1,-420092889#1,183521195#1 788674837 381218106#1 -517932075#3 -517932075#2 -517932075#1 -517932075#0 1153283290 770890583#0 770890583#1 770890583#2 773060741#0 773060741#1 770890587 770890589#0 770890589#1 770890589#2 770890589#3 770890589#4 770890589#5 773066535#0 218923178#0 218923178#1 218923178#2 218923178#3 218923178#4 218923178#7 578313749#0 578313749#1 420331816#0 420331816#1 381802847#0 -420331812#4 -420331812#3 -420331812#2 381802858 -381802844#2 -381802844#1 -381802844#0 117914344#2 -117914353#2 -117914353#1 381802883#0 -420092889#2 -420092889#1,45,1047.60,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00187,-464155346#0,1216356209#0,-464155346#0 517328038#1 -464154085#2 -464154085#1 -464154085#0 -447956867#2 -447956867#1 1244243645 -37401486#22 -238545096#2 -238545096#1 -238545096#0 516398275#3 516398275#4 516398275#5 516398275#6 516398275#7 516398275#8 516398275#9 908636259#0 908636259#1 908636259#3 908636259#4 908720245#0 908720245#1 -224258726#1 1216356209#0,27,1053.95,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00188,320463245#4,381802875,320463245#4 -1125773044 -381456420#7 -381456468#1 -381456468#0 381456466#1 -381456420#5 -381456420#4 -381456420#1 -381456420#0 198564928#15 198564928#16 198564928#17 198564928#18 198564928#19 198564928#20 198564928#21 198564928#24 198564928#25 198564928#26 198564928#27 198564928#28 1455518726 1455518729#0 1455518729#1 1455518729#2 1455518729#4 1455518729#5 1455518729#6 1455518729#7 183272587 -218773868#0 -180368918#8 -180368918#7 -180368918#6 -180368918#5 -180368918#3 -180368918#0 -800229255 -578313748#2 -578313748#0 174870621#0 174870621#2 183272625#1 117770551#0 117770551#2 117770551#3 117770551#4 870977308#0 -37399924#5 381802845#0 381802845#1 381802845#2 381802845#3 381802845#4 420092891#4 420092891#5 381802875,58,1060.30,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00189,1207199730#3,1125773042,1207199730#3 170403826#0 170403826#1 170403826#2 170403826#3 37400684#1 37400684#2 37400684#3 732213462 620634300 1212424784 218769254#0 218769254#1 218769254#2 218769254#3 218769254#4 1456115797#0 184083252 333555370 1456115800 1456115801#0 1456115801#1 1456115801#2 1456115801#3 -198564928#21 381456422#1 381456422#3 381456422#4 381456422#6 381456422#7 420383150#1 381456461 320463283 320463177#1 1125773042,35,1066.66,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00190,-381741927,219696192#4,-381741927 381741932#4 -218910324#3 -218910324#2 -218910324#1 -218910324#0 -218681380#7 -218681380#5 -218681380#4 -218681380#3 -218681380#2 -218681380#1 -218681380#0 -520307305#4 -520307305#3 -520307305#2 -520307305#1 -520307305#0 -37928420#2 -37928420#1 -37928420#0 37403487#0 913006753 913006754#0 913006754#1 913006754#2 913006754#3 913006754#4 -1291318446 -268782233#4 -268782233#3 -268782233#2 -268782329#1 -268782329#0 272228143#0 272228143#1 272228143#2 272228143#3 272228143#4 272228143#5 237470575#0 237470575#1 237470575#2 237470575#3 237470575#4 -273639501#2 -273639501#1 -273638834#8 -273638834#6 -273638834#5 -273638834#4 -273638834#3 -273638834#2 -273638834#1 219696192#0 219696192#1 219696192#3 219696192#4,58,1073.01,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00191,-315658900#5,419812887#2,-315658900#5 -315658900#4 -315658900#3 -315658900#2 -315658900#1 -315658900#0 -315658899#1 -315658899#0 921117704#0 921117704#1 1467498054 -781985788#0 -383097722#0 383097714 1499619438#0 1499619445#2 1499619444 1499619443#0 1499619443#1 1499619443#2 1499619443#3 1499619443#4 1499619443#5 1499619443#6 1499619443#7 1499619443#8 1499619443#9 1499619437 1499619442 1499619439#0 1499619439#1 1499619439#2 1499619439#3 218923156#1 333725870 424940172 1084408276#0 1084408276#1 1482114515#0 1084408281 219053199#0 219053199#1 219053199#2 219053199#3 219053199#4 219053199#5 -217514805#7 -217514805#6 -217514805#5 -217514805#4 -217514805#3 -217514805#2 -217514805#1 -217514805#0 -329261504#2 -895829949 419812887#1 419812887#2,58,1079.36,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00192,37400684#3,379584866#0,37400684#3 732213462 620634300 1212424784 1212424783#0 1212424783#1 1212424783#2 1212424783#3 1212424783#4 1455526426#0 1455526426#1 1455526426#2 482167259 482167260 1455527229 1455527230 1207481548 1455546620 1207481549#0 1207481549#1 1455546621 1455546622#0 1455546622#1 1455546623 773060740#1 913698744 180192153#0 180192153#1 180192153#3 180192153#4 180192153#6 180192153#7 180192153#8 180192153#9 180192153#10 180192153#11 180192153#12 183521185#0 183521185#1 183521185#2 183521185#3 183521185#4 183521185#5 183521185#6 183521185#7 183521185#8 183521185#10 183521185#11 183521185#13 263590234 1455241699#0 1455241699#1 379584862#1 379584862#2 416206250#0 416206250#1 416206250#2 416206250#3 416206250#4 416212022#0 379584866#0,61,1085.72,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00193,-416172056,-381458595,-416172056 -223435055#0 1458160293 1458158614 1458158612 1458158611 1458158610 517583989 1458158609 1458158608 1458158607 517641007 1458158597 219745508 1458158602 37400684#0 37400684#1 37400684#2 37400684#3 732213462 620634300 1212424784 218769254#0 218769254#1 218769254#2 218769254#3 218769254#4 1456115797#0 184083252 218923184 1456115805 1381133418 117784417#2 117784417#3 -420348553 -117784415 117784421#2 117784421#3 117784421#4 198564928#28 -1455518728 -428260116#1 -428260116#0 -1455512067 -913006754#9 420331825#0 -117914351#2 -117914351#0 -117914348#1 -117914348#0 420331831 -1126339777#1 -1126339777#0 -913009311 -520307306 -218662402#1 -218662402#0 37928420#0 37928420#1 37928420#2 520307305#0 520307305#1 520307305#2 -239357573#21 -239357573#20 -239357573#19 381458581#1 381458581#2 381458581#3 381458597 -381458594#4 -381458595,72,1092.07,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00194,416178719#1,420089386#4,416178719#1 416178719#2 416178719#3 416178719#4 416178720#1 416178720#2 416178720#3 416178720#5 416178720#6 416195450#0 416195450#1 379730341#0 379730341#1 379730344 379730377 -416204675#6 -416204675#5 379730349 379730390#1 379730390#2 -416204675#2 -416204675#1 -416204675#0 -318478691 -318478671#1 -318478671#0 -1455543604 -1455543605 -517323577#1 -517323577#0 -180192150 -333725872#8 -333725872#7 -333725872#6 -333725872#5 -333725872#4 -333725872#2 -333725872#1 -482188706 -183895356 -218684408#9 -218684408#8 -218684408#7 -218684408#6 -218684408#5 -218684408#3 -218684408#2 -218684408#1 -218684408#0 37399924#0 37399924#1 37399924#2 37399924#3 37399924#4 37399924#5 420089386#0 420089386#1 420089386#2 420089386#3 420089386#4,60,1098.42,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00195,-245063646,-420361194#1,-245063646 184444067#4 184444067#5 184444067#6 517641017#4 517641017#5 517641017#6 517641017#7 517641017#8 517706841#1 517706841#2 517706841#3 517706841#4 517706841#5 908694579 656122981#0 656122981#1 656122981#2 656122981#4 656122981#5 656122981#6 613477341#2 613477341#3 613477341#4 218974503#0 218974503#1 218974503#2 218974503#3 218974503#4 218974503#5 218974503#6 1109231377#0 1109231377#1 782892492#0 782892492#1 -420361194#2 -420361194#1,37,1103.34,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00196,770860549,-619137615#8,770860549 821457682#1 333557072#3 -770860548#4 -770860548#3 770860565#0 770860565#1 78628775#5 78628770#1 379943755#1 379943753#0 379943753#1 1339655667#0 1339655667#1 -37403486#2 -37403486#1 -1339655670#2 -1339655670#1 -1339655670#0 -1339655672#1 -1339655672#0 -580350029#7 -580350029#6 -580350029#5 -580350029#3 -580350029#2 -580350029#1 -580350029#0 -526967879#3 -526967879#2 -526967879#1 -526967879#0 -37403484#5 -37403484#4 464458983#0 464458983#2 464458983#3 344898669#0 -344898670#0 -619137615#9 -619137615#8,41,1109.70,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00197,773060739#1,379730378#0,773060739#1 1208411212#0 1208411212#1 37402325#0 37402325#1 37402325#2 1506928765 480618375#1 480618375#2 480618375#3 480618375#4 480618375#5 480618375#6 480618375#7 480618375#8 480618375#9 1153283292#1 1153283292#2 1153283292#3 1153283292#4 770899736#0 770899736#1 770899736#2 1458160299 1458160300#0 1458160300#1 1458160300#2 1458160300#4 1458160300#5 1458160300#6 218769263#0 218769263#1 218769263#2 218769263#3 218769263#4 218769263#5 218769263#6 218769263#7 218769263#8 218769263#9 218769263#11 218769263#12 218769263#14 -517932075#9 -517932075#8 -517932075#7 -517932075#6 -517932075#5 -517932075#3 -517932075#2 -517932075#1 -517932075#0 1153283290 913698744 180192153#0 180192153#1 180192153#3 180192153#4 180192153#6 180192153#7 180192153#8 180192153#9 180192153#10 180192153#11 180192153#12 183521185#0 183521185#1 -379730403#4 416175123#0 416175122#2 -229028014#4 -800601984 -238538492#8 -238538492#7 -379730387#2 -379730387#1 -379730387#0 238538826#1 379730378#0,79,1116.05,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00198,375125205#4,218771978#3,375125205#4 381807721#0 -381807694#1 381807720#3 381807720#4 800229257#2 911522748#0 911522748#1 183521074#0 183521074#1 183521074#2 183521074#3 -913811578 913694024#0 913694024#1 37403503#5 37403503#6 656122996 1199229106#0 1199229106#1 218771978#1 218771978#2 218771978#3,23,1122.40,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00199,244384770#2,183521185#8,244384770#2 244384770#3 244384770#4 244384770#5 244384770#6 244384770#7 244384770#8 244384770#9 244384770#10 244384770#11 244384770#12 244384770#13 244384770#14 244384770#15 913006752#0 913006752#1 218662402#0 218662402#1 520307306 913009311 913009312#1 913009312#2 913009312#3 913009312#4 913009312#5 913009312#6 913009312#7 913009312#8 913009312#9 913009312#10 -218923171#5 -218923171#4 -218923171#2 -218923171#1 37403503#1 37403503#2 37403503#3 37403503#4 37403503#5 37403503#6 656122996 183272548#0 183272548#1 183272548#2 183272548#3 183272548#4 180192153#0 180192153#1 180192153#3 180192153#4 180192153#6 180192153#7 180192153#8 180192153#9 180192153#10 180192153#11 180192153#12 183521185#0 183521185#1 183521185#2 183521185#3 183521185#4 183521185#5 183521185#6 183521185#7 183521185#8,66,1128.76,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00200,-381452140#1,420113458#2,-381452140#1 381452099 218960891#3 381746452#0 381746452#1 381746452#2 381746452#3 -420097198#1 -420097207 -381746718 381737978#2 83339285#0 83339285#1 83339285#2 83339285#3 83339285#4 83339285#5 381730930#0 381730930#1 381730930#3 420108609#1 420108609#2 420108609#3 420108609#4 420108609#5 420113453 381730887 381730927 -381730909#2 -420113460 420113458#2,31,1135.11,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00201,-328442838#2,516417604#2,-328442838#2 -328442838#1 385962314#1 385962314#2 -385962313#2 -385962313#1 913230876 1507371404#2 480233461 1067765276#0 1067765276#1 1067765276#2 480233459 333580689#1 333580689#2 516388936#0 516948898#8 516948898#9 516948898#10 516948898#11 1214479816#0 1214479816#1 1214479816#2 1214479816#3 1214479816#4 333969025#1 773066533#0 773066533#1 773066533#2 773066533#3 621513157#0 621513157#1 621513157#2 621513156 516417604#0 516417604#2,36,1141.46,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00202,422584937#2,1205679418#10,422584937#2 -531796031 -218923177 516948898#3 176728950#0 176728950#1 -344645187 176728955#5 176728955#6 176728955#7 176728955#8 480233462#3 1424068313#1 1424068313#2 1424068313#3 1424068313#4 1424068313#5 619147731 539136610#0 908622900#0 908622900#1 -198564935#3 -198564935#2 -198564935#0 198564933 198564930 218923160#0 218923160#1 218923160#2 218923160#3 218923160#4 219096264 198564925#0 198564925#1 198564925#2 198564925#3 198564925#4 198564925#5 782892488#2 -1205679418#12 -1205679418#11 -1205679418#10 -1205679418#9 -1205679418#8 228795472#0 -228795477#7 -228795474#0 1205679418#6 1205679418#7 1205679418#8 1205679418#9 1205679418#10,52,1147.82,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00203,-464148430#0,-464419339#0,-464148430#0 -1144268077#1 -464154095#1 788727983 464148430#1 464148430#2 464148430#3 464154091#0 464154091#1 464154098 -447956867#6 -447956867#5 -447956867#4 -447956867#3 -447956867#2 -447956867#1 1244243645 -37401486#22 -238545096#2 -238545096#1 -238545096#0 516398275#3 516398275#4 516398275#5 516398275#6 516398275#7 516398275#8 516398275#9 908636259#0 908636259#1 908636259#3 908636259#4 908720245#0 908720245#1 1214479815 773066532#0 464233648#0 464233648#1 464233647#2 480233463#7 516388937 218923167#1 1068426572#0 1068426572#1 1424068314#2 1424068314#4 333554714#1 183272313#0 183272313#1 183272448#0 516169312#0 516169312#1 516169312#2 516169312#3 516169312#4 516169312#5 -331951643#7 331951646 -377373686#0 -331953288#1 -331953288#0 -464419339#2 -464419339#0,63,1154.17,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00204,420092890#0,218724603,420092890#0 381802870#0 381802870#1 870977310#0 870977310#1 37399924#8 37399924#9 37399924#10 37399924#11 218960891#0 218960891#1 218960891#2 218960891#3 218960891#4 218960891#5 218960891#6 218960891#8 218960891#9 218960891#10 218960891#11 218960891#12 218960891#13 218960891#14 -519097168#4 -519097168#2 -519097168#1 -519097168#0 -413106892 381746310 -381741957#1 781179155 97537664#1 519071257#0 1442271383 218724603,35,1160.52,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00205,381452120#6,782892488#2,381452120#6 -183272309#6 -183272309#4 -420319848#7 -420319848#5 -420319848#4 -420319848#3 -420319848#2 -420319848#1 -420319848#0 381452132 -420331825#4 -420331825#3 -420331825#2 -420331825#1 -420331825#0 913006754#9 1455512067 428260110 381453328#0 -381453321#4 -381453321#2 -381453321#1 381453320#1 -420348556#2 -420348556#1 -420348556#0 381453325#1 -198564928#25 -198564928#24 -198564928#21 -198564928#20 -198564928#19 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -198564928#11 -198564928#10 -198564928#8 -198564928#7 -198564928#6 -198564928#5 -198564928#4 -198564928#2 -198564928#0 198564934#0 198564934#1 913565824#1 913565824#2 782892488#2,54,1166.87,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00206,-198691076#2,516169308#7,-198691076#2 -198691076#1 198691079#3 198691085#0 198691085#1 198691085#2 198691085#3 198691065#1 198691065#2 383097714 1499619438#0 383097712#1 383097712#2 183272462#1 333972428#1 333972428#2 333972428#3 333972428#4 289213613#0 619342756 585341917 438360329#0 438360329#1 183272574#1 -516948900#4 -516948900#3 -516948900#2 333554715#1 531796031 -422584937#2 -422584937#1 -422584937#0 -516388934#3 475744294#1 183272449#0 183272449#1 183272449#2 183272449#3 516169308#2 516169308#3 516169308#4 516169308#5 516169308#6 516169308#7,44,1173.23,expanded_map_background_distributed_boundary
